                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.47634,                0.55436,                0.94383,                0.85138,                0.99065,                      1,                  0.995,                0.91175,                0.99065,                      1,                  0.995,                0.93393,                0.39353,                0.60575,                0.80635,                 0.8419,             0.00095736,             0.00095736,             0.00095736
                     46,                0.51779,                0.57314,                0.95795,                0.88921,                0.98782,                      1,                  0.995,                0.91531,                0.98782,                      1,                  0.995,                0.87955,                0.38403,                0.84322,                0.81057,                0.84283,             0.00094085,             0.00094085,             0.00094085
                     47,                0.70481,                0.65415,                 1.1756,                0.95523,                0.98674,                      1,                  0.995,                0.94176,                0.98674,                      1,                  0.995,                0.89692,                0.34699,                 1.0431,                0.78582,                0.83892,             0.00092435,             0.00092435,             0.00092435
                     48,                0.60914,                0.54896,                 1.1565,                0.89314,                0.98666,                      1,                  0.995,                0.93677,                0.98666,                      1,                  0.995,                0.89973,                0.32863,                0.99866,                0.83192,                0.83605,             0.00090785,             0.00090785,             0.00090785
                     49,                0.49362,                0.60663,                 1.3344,                0.86288,                0.97597,                      1,                  0.995,                0.93355,                0.97597,                      1,                  0.995,                0.89633,                0.34395,                0.90333,                0.91496,                0.84065,             0.00089134,             0.00089134,             0.00089134
                     50,                0.46771,                0.48376,                 1.0746,                0.84111,                0.98465,                      1,                  0.995,                0.94277,                0.98465,                      1,                  0.995,                0.92825,                0.34847,                0.66898,                   0.82,                0.83986,             0.00087484,             0.00087484,             0.00087484
                     51,                0.39133,                0.37919,                 2.3729,                0.63711,                0.98574,                0.99904,                  0.995,                0.95407,                0.98574,                0.99904,                  0.995,                0.92438,                0.35131,                0.68818,                0.77646,                0.83879,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.5075,                0.50552,                0.91607,                0.89386,                0.98948,                0.99914,                  0.995,                0.93964,                0.98948,                0.99914,                  0.995,                0.93643,                0.32248,                0.58031,                0.77225,                0.83355,             0.00084184,             0.00084184,             0.00084184
                     53,                0.47623,                0.52217,                 1.1575,                0.86113,                0.98369,                0.99953,                  0.995,                0.95545,                0.98369,                0.99953,                  0.995,                0.93732,                0.34098,                0.49471,                0.72797,                0.83359,             0.00082533,             0.00082533,             0.00082533
                     54,                0.46514,                 0.4562,                 0.9326,                0.85606,                0.98472,                      1,                  0.995,                0.93648,                0.98472,                      1,                  0.995,                0.94846,                0.35467,                0.42888,                0.72636,                0.83522,             0.00080883,             0.00080883,             0.00080883
                     55,                0.56624,                0.51552,                 1.0074,                0.88521,                0.98599,                      1,                  0.995,                 0.9248,                0.98599,                      1,                  0.995,                0.93966,                0.35472,                0.41883,                0.73552,                0.83888,             0.00079233,             0.00079233,             0.00079233
                     56,                0.47681,                0.52804,                 0.9949,                0.87362,                0.99136,                      1,                  0.995,                0.89821,                0.99136,                      1,                  0.995,                0.94379,                0.37334,                0.42498,                 0.7213,                0.84334,             0.00077582,             0.00077582,             0.00077582
                     57,                0.47319,                0.51735,                 0.8114,                0.88682,                0.99349,                      1,                  0.995,                0.91351,                0.99349,                      1,                  0.995,                0.95682,                0.36783,                0.43602,                0.72972,                0.84172,             0.00075932,             0.00075932,             0.00075932
